Year;Month;PY Male;% Male;PY Female;% Female
2008;08;0;0;27.84;0.39
2008;09;0;0;26.94;0.37
2008;10;0;0;27.79;0.39
2008;11;0;0;26.9;0.37
2008;12;0;0;27.74;0.39
2009;01;0;0;27.66;0.38
2009;02;0;0;24.99;0.35
2009;03;0;0;27.58;0.38
2009;04;0;0;26.66;0.37
2009;05;0;0;27.41;0.38
2009;06;0;0;26.44;0.37
2009;07;0;0;27.24;0.38
2009;08;0;0;27.13;0.38
2009;09;0;0;26.22;0.36
2009;10;0;0;27.29;0.38
2009;11;0;0;26.07;0.36
2009;12;0;0;26.58;0.37
2010;01;0;0;26.09;0.36
2010;02;0;0;23.18;0.32
2010;03;0;0;25.4;0.35
2010;04;0;0;24.35;0.34
2010;05;0;0;24.92;0.35
2010;06;0;0;24.01;0.33
2010;07;0;0;24.78;0.34
2010;08;0;0;24.9;0.35
2010;09;0;0;23.98;0.33
2010;10;0;0;24.88;0.35
2010;11;0;0;24.05;0.33
2010;12;0;0;24.86;0.35
2011;01;0;0;24.87;0.35
2011;02;0;0;22.28;0.31
2011;03;0;0;24.59;0.34
2011;04;0;0;23.81;0.33
2011;05;0;0;24.71;0.34
2011;06;0;0;24.3;0.34
2011;07;0;0;25.12;0.35
2011;08;0;0;25.14;0.35
2011;09;0;0;24.3;0.34
2011;10;0;0;25.15;0.35
2011;11;0;0;24.47;0.34
2011;12;0;0;25.13;0.35
2012;01;0;0;24.97;0.35
2012;02;0;0;23.23;0.32
2012;03;0;0;24.64;0.34
2012;04;0;0;23.5;0.33
2012;05;0;0;24.18;0.34
2012;06;0;0;23.31;0.32
2012;07;0;0;24.14;0.34
2012;08;0;0;24.04;0.33
2012;09;0;0;23.08;0.32
2012;10;0;0;23.58;0.33
2012;11;0;0;22.38;0.31
2012;12;0;0;23.21;0.32
2013;01;0;0;23.15;0.32
2013;02;0;0;20.75;0.29
2013;03;0;0;23.14;0.32
2013;04;0;0;22.22;0.31
2013;05;0;0;22.64;0.31
2013;06;0;0;21.71;0.3
2013;07;0;0;22.26;0.31
2013;08;0;0;21.98;0.31
2013;09;0;0;21.26;0.3
2013;10;0;0;21.82;0.3
2013;11;0;0;20.82;0.29
2013;12;0;0;21.25;0.3
2014;01;0;0;21.29;0.3
2014;02;0;0;19.32;0.27
2014;03;0;0;21.33;0.3
2014;04;0;0;20.59;0.29
2014;05;0;0;21.51;0.3
2014;06;0;0;20.86;0.29
2014;07;0;0;21.51;0.3
2014;08;0;0;21.46;0.3
2014;09;0;0;20.71;0.29
2014;10;0;0;21.53;0.3
2014;11;0;0;20.67;0.29
2014;12;0;0;21.3;0.3
2015;01;0;0;21.29;0.3
2015;02;0;0;19.08;0.27
2015;03;0;0;21.06;0.29
2015;04;0;0;20.35;0.28
2015;05;0;0;20.96;0.29
2015;06;0;0;20.29;0.28
2015;07;0;0;20.83;0.29
2015;08;0;0;20.78;0.29
2015;09;0;0;19.85;0.28
2015;10;0;0;20.3;0.28
2015;11;0;0;19.58;0.27
2015;12;0;0;20.14;0.28
2016;01;0;0;19.72;0.27
2016;02;0;0;17.52;0.24
2016;03;0;0;18.12;0.25
2016;04;0;0;17.03;0.24
2016;05;0;0;17.41;0.24
2016;06;0;0;16.76;0.23
2016;07;0;0;17.23;0.24
2016;08;0;0;17.21;0.24
2016;09;0;0;16.5;0.23
2016;10;0;0;16.97;0.24
2016;11;0;0;16.43;0.23
2016;12;0;0;16.88;0.23
2017;01;0;0;16.51;0.23
2017;02;0;0;14.82;0.21
2017;03;0;0;16.31;0.23
2017;04;0;0;15.69;0.22
2017;05;0;0;16.18;0.22
2017;06;0;0;15.55;0.22
2017;07;0;0;15.98;0.22
2017;08;0;0;15.85;0.22
2017;09;0;0;15.16;0.21
2017;10;0;0;15.44;0.21
2017;11;0;0;14.87;0.21
2017;12;0;0;15.38;0.21
2018;01;0;0;15.38;0.21
2018;02;0;0;13.74;0.19
2018;03;0;0;15.06;0.21
2018;04;0;0;14.62;0.2
2018;05;0;0;15.01;0.21
2018;06;0;0;14.24;0.2
2018;07;0;0;14.57;0.2
2018;08;0;0;14.46;0.2
2018;09;0;0;14.04;0.2
2018;10;0;0;14.6;0.2
2018;11;0;0;13.91;0.19
2018;12;0;0;14.13;0.2
2019;01;0;0;14.12;0.2
2019;02;0;0;12.58;0.17
2019;03;0;0;13.8;0.19
2019;04;0;0;13.23;0.18
2019;05;0;0;13.57;0.19
2019;06;0;0;12.99;0.18
2019;07;0;0;13.27;0.18
2019;08;0;0;13.11;0.18
2019;09;0;0;12.49;0.17
2019;10;0;0;12.82;0.18
2019;11;0;0;12.34;0.17
2019;12;0;0;12.58;0.17
2020;01;0;0;12.3;0.17
2020;02;0;0;11.43;0.16
2020;03;0;0;12.22;0.17
2020;04;0;0;11.83;0.16
2020;05;0;0;12.06;0.17
2020;06;0;0;11.56;0.16
2020;07;0;0;11.9;0.17
2020;08;0;0;11.88;0.17
2020;09;0;0;11.51;0.16
2020;10;0;0;11.74;0.16
2020;11;0;0;11.36;0.16
2020;12;0;0;11.64;0.16
